install_date,builder,model,price,account,account_id
2018-08-29,KOIKEARONSON,PLATE-FAB-510,,Atlas Industrial Fabricators,0015Y00002kC1rLQAS
2018-08-27,"Electro-Mechanical Integrators, Inc. (EMI)",TPC-2100-EL,,"Rearden Steel Fabrication, Inc.",0015Y00002kByEEQA0
2018-08-22,PEDDINGHAUS,ABCM-1250,,"B&B Welding Co, Inc",001Nu00000Hr688IAB
2018-08-02,DYNATORCH,XLE-5X10,,"CM Fabrication, LLC - GA",001Nu00000Hr6GSIAZ
2018-06-08,Prodevco,PCR-42,,"Miscellaneous Metals, Inc",0015Y00002kBxbQQAS
2018-05-25,AKS,ACCU-KUT-6X12,,Custom Metal Works Inc,001Nu00000BmvAXIAZ
2018-05-21,MESSER,EDGEMAX-8,,M K Metal Prods Inc,001Nu00000BmtTbIAJ
2018-03-26,FICEP,GEMINI-25-HPE,,Koenig Iron Works Inc,001Nu00000Hr7knIAB
2018-03-22,MESSER,TITAN-III-12,,"Metal Stock, Inc.",0015Y00002kC3fKQAS
2018-03-01,MESSER,METALMASTR2.0,,RAI Industrial Fabricators,0015Y00002kBybLQAS
2018-02-02,KOIKEARONSON,PLATE-FAB-510,,K B Mach Tool Fab LLC,001Nu00000BmvGsIAJ
2018-01-30,MESSER,METALMASTREVO,,Lingis Mfg & Machine Co,0015Y00002kByhrQAC
2018-01-23,ADVANCE-CUT,PLATEPROX3100,,Macintosh Industrial,0015Y00002kC2zCQAS
2018-01-09,DYNATORCH,XLE-4X8,,A&V Steel LLC,001Nu00000Hr5mxIAB
2017-12-22,PEDDINGHAUS,HSFDB-2500/B,,Luigi Liberato Steel Fab Co,001Nu00000Hr7qXIAR
2017-12-18,Piranha,C-510,,Hughes Welding,0015Y00002kBze2QAC
2017-12-18,Piranha,MEGAFAB-C-510,,K & W Welding LLC,0015Y00002kC3KtQAK
2017-11-30,MACHITECH,DIAMOND-CUT,,Fab Rite Inc,001Nu00000Hr731IAB
2017-11-28,VICTOR,5X10-CNCPSRS,,Industrial Alloy Welding,0015Y00002kC2brQAC
2017-11-27,KOIKEARONSON,N/A,,Coosa Steel Corporation,0015Y00002kC00PQAS
2017-11-15,SOITAAB,PLASMA-RED,,Amazon Steel Construction,0015Y00002kC4QqQAK
2017-10-26,FICEP,GEMINI-32-HPE,,Michelman Steel Enterprises,001Nu00000Hr80wIAB
2017-10-19,MESSER,METALMASTREVO,,E & E Metal Fab Inc,0015Y00002kBxjxQAC
2017-10-10,FICEP,TIPO-G-25-LG,,GMF Steel Group,0015Y00002kC2gAQAS
2017-10-03,DYNATORCH,SUPER-B-4X8,,Metal Tech LLC,001Nu00000Hr80JIAR
2017-09-27,KOIKEARONSON,PLATEPROX2000,,Firelands Metals (Janotta & Herner Inc),001Nu00000BmvGbIAJ
2017-09-13,Daito USA Inc.,CRII-1040,,Metro Iron Corp (Valcon Steel Corp),0015Y00002kC0ASQA0
2017-08-30,MACHITECH,SILVERCUT6X12,,Dean Paige Welding Inc,001Nu00000Hr6hpIAB
2017-07-17,BURLINGTON,PYTHON-X,,C & A Iron Works Inc,0015Y00002kBxYUQA0
2017-06-15,DYNATORCH,XLE-6X12,,Custom Metalsmith Inc,001Nu00000HtbdoIAB
2017-06-07,MESSER,EDGEMAX-6X12,,HMB Steel Corp,001Nu00000HtbOaIAJ
2017-06-02,Kinetic Cutting Systems,K-5600-XMC,,"Owen Steel Company - Columbia, SC",0015Y00002kBxwdQAC
2017-05-19,KOIKEARONSON,PLATEPRO-2500,,"BSE Welding & Fabricating, LLC",001Nu00000Bmv9KIAR
2017-05-03,MESSER,METALMASTER-2,,East Coast Steel Fab,0015Y00002uC6VYQA0
2017-04-21,DYNATORCH,XL-128,,Old Forge Iron Works LLC,001Nu00000Hr8HtIAJ
2017-04-21,MESSER,EDGEMAX,,Premier Fab LLC,001Nu00000Hr8QUIAZ
2017-04-19,AKS,ACCU-KUT-8X12,,Rampf Molds Industries Inc,001Nu00000Hr8c4IAB
2017-04-03,KOIKEARONSON,MONOGRAPHX510,,Baltimore Fab LLC,001Nu00000Hr6HZIAZ
2017-03-20,KOIKEARONSON,PNC-12,,Bluegrass Tank & EQT Inc,001Nu00000Bmv9vIAB
2017-03-20,AKS,TRU-KUT,,Falls Metal Fab & Indl Svc LLC,001Nu00000BmvDmIAJ
2017-03-03,KOMATSU,TFP-3051,,Camtech Mfg Solutions LLC,001Nu00000BmmViIAJ
2017-02-10,WARDJET,WARDKIT-5X10,,CRC Metal Fab & Performance Center LLC,001Nu00000HtbdNIAR
2017-01-26,Lonestar Cutting Solutions,SCOUT-III,,Newco Iron Works Ltd,001Nu00000Hr8EsIAJ
2017-01-09,MESSER,METAL-MASTER,,"AIM Fabrication, Inc",001Nu00000Hr633IAB
